date,strategy,etf,prev_weight_pct,target_weight_pct,delta_pct,action
2026-04-20,v1,ANGL,4.72,4.82,0.1,BUY
2026-04-20,v1,DBA,22.17,20.4,-1.77,SELL
2026-04-20,v1,GLD,5.53,5.32,-0.21,SELL
2026-04-20,v1,HYG,5.51,5.63,0.12,BUY
2026-04-20,v1,IEF,5.55,5.39,-0.16,SELL
2026-04-20,v1,PDBC,7.14,0.0,-7.14,SELL
2026-04-20,v1,PFF,4.02,4.15,0.13,BUY
2026-04-20,v1,SHY,16.86,22.8,5.94,BUY
2026-04-20,v1,SJNK,6.76,6.88,0.12,BUY
2026-04-20,v1,TLT,0.0,2.84,2.84,BUY
2026-04-20,v2,DBA,22.72,21.81,-0.91,SELL
2026-04-20,v2,EMB,5.64,5.99,0.35,BUY
2026-04-20,v2,GLD,4.97,4.68,-0.29,SELL
2026-04-20,v2,HYG,8.64,9.31,0.67,BUY
2026-04-20,v2,IEF,7.42,6.6,-0.82,SELL
2026-04-20,v2,LQD,7.86,8.27,0.41,BUY
2026-04-20,v2,PDBC,6.87,0.0,-6.87,SELL
2026-04-20,v2,PFF,6.45,7.04,0.59,BUY
2026-04-20,v2,SHY,19.8,23.77,3.97,BUY
2026-04-20,v2,SLV,3.15,2.91,-0.24,SELL
2026-04-20,v2,SPY,1.89,2.12,0.23,BUY
2026-04-20,v2,TLT,0.0,2.76,2.76,BUY
2026-04-20,v2,VNQ,4.59,4.73,0.14,BUY
2026-04-20,v3,DBA,18.02,17.21,-0.81,SELL
2026-04-20,v3,EDV,3.11,2.91,-0.2,SELL
2026-04-20,v3,EMB,3.64,3.8,0.16,BUY
2026-04-20,v3,GLD,3.12,3.04,-0.08,SELL
2026-04-20,v3,HYG,5.32,5.59,0.27,BUY
2026-04-20,v3,IEF,4.38,4.45,0.07,BUY
2026-04-20,v3,JPST,23.01,23.21,0.2,BUY
2026-04-20,v3,LQD,4.38,4.58,0.2,BUY
2026-04-20,v3,PDBC,5.06,0.0,-5.06,SELL
2026-04-20,v3,SHY,9.83,14.83,5.0,BUY
2026-04-20,v3,TLT,3.39,3.3,-0.09,SELL
2026-04-20,v3,VTIP,7.42,7.71,0.29,BUY
