date,strategy,etf,target_weight_pct
2026-04-24,v1,ANGL,4.47
2026-04-24,v1,BKLN,6.16
2026-04-24,v1,DBA,22.59
2026-04-24,v1,EMB,3.56
2026-04-24,v1,HYG,5.2
2026-04-24,v1,IEF,5.22
2026-04-24,v1,LQD,4.49
2026-04-24,v1,PDBC,7.38
2026-04-24,v1,PFF,3.75
2026-04-24,v1,SHY,21.56
2026-04-24,v1,SJNK,6.38
2026-04-24,v1,TIP,6.43
2026-04-24,v1,TLT,2.81
2026-04-24,v2,DBA,20.94
2026-04-24,v2,EMB,5.5
2026-04-24,v2,HYG,8.62
2026-04-24,v2,IEF,6.73
2026-04-24,v2,LQD,7.85
2026-04-24,v2,PDBC,7.4
2026-04-24,v2,PFF,5.95
2026-04-24,v2,SHY,27.72
2026-04-24,v2,SPY,1.91
2026-04-24,v2,TLT,2.75
2026-04-24,v2,VNQ,4.63
2026-04-24,v3,DBA,18.01
2026-04-24,v3,EDV,3.48
2026-04-24,v3,EMB,3.32
2026-04-24,v3,GLD,3.32
2026-04-24,v3,HYG,4.83
2026-04-24,v3,IEF,4.52
2026-04-24,v3,JPST,22.94
2026-04-24,v3,LQD,4.08
2026-04-24,v3,PDBC,5.15
2026-04-24,v3,SHY,11.05
2026-04-24,v3,TIP,3.97
2026-04-24,v3,TLT,3.69
2026-04-24,v3,VNQ,4.07
2026-04-24,v3,VTIP,7.56
